name,description,calories,price,cusinetype
Spaghetti Carbonara,Creamy pasta with pancetta and parmesan,650,14.99,Italian
Margherita Pizza,"Tomato, fresh mozzarella, and basil on thin crust",720,12.99,Italian
Lasagna Bolognese,Layered pasta with meat ragu and béchamel,780,15.99,Italian
Fettuccine Alfredo,Rich cream sauce with parmesan over fettuccine,690,13.99,Italian
Risotto ai Funghi,Creamy risotto with mixed mushrooms,560,14.49,Italian
Penne all’Arrabbiata,Spicy tomato garlic sauce over penne,540,11.99,Italian
Gnocchi al Pesto,Potato gnocchi tossed in basil pesto,590,13.49,Italian
Chicken Parmigiana,Breaded chicken cutlet with marinara and cheese,760,16.99,Italian
Eggplant Parmigiana,Baked eggplant with tomato sauce and mozzarella,640,14.49,Italian
Tagliatelle al Ragu,Fresh pasta with slow-cooked beef ragu,710,16.49,Italian
Bruschetta al Pomodoro,"Grilled bread with tomatoes, garlic, and basil",260,7.99,Italian
Prosciutto e Melone,Cured ham served with sweet melon,320,9.99,Italian
Caprese Salad,"Tomatoes, mozzarella, basil, and olive oil",310,10.49,Italian
Seafood Linguine,"Linguine with shrimp, mussels, and clams",680,18.99,Italian
Four Cheese Pizza,"Mozzarella, gorgonzola, fontina, and parmesan",790,14.99,Italian
Calzone Classico,Folded pizza stuffed with cheese and salami,820,13.99,Italian
Tortellini alla Panna,Cheese tortellini in cream sauce,710,14.49,Italian
Pasta Primavera,Pasta with seasonal vegetables in light sauce,520,12.99,Italian
Osso Buco,Braised veal shank with vegetables,690,21.99,Italian
Polenta al Gorgonzola,Creamy polenta with blue cheese,480,11.49,Italian
Arancini di Riso,Fried rice balls stuffed with cheese and ragu,430,9.99,Italian
Pizza Diavola,Spicy salami pizza with chili flakes,770,13.99,Italian
Ravioli di Ricotta e Spinaci,Ravioli stuffed with ricotta and spinach,620,14.99,Italian
Minestrone Soup,Hearty vegetable and bean soup,280,8.99,Italian
Panzanella Salad,Tuscan bread salad with tomatoes and cucumbers,350,9.49,Italian
Bistecca alla Fiorentina,Grilled T-bone steak Florentine style,900,28.99,Italian
Spaghetti alle Vongole,Spaghetti with clams in white wine sauce,590,17.99,Italian
Risotto al Limone,Lemon-scented creamy risotto,520,13.99,Italian
Pizza Quattro Stagioni,Four-season pizza with assorted toppings,780,15.49,Italian
Tiramisu Cup,Classic coffee-soaked ladyfinger dessert,420,7.99,Italian
Kung Pao Chicken,Spicy stir-fried chicken with peanuts and chilies,620,13.49,Chinese
Sweet and Sour Pork,Crispy pork in sweet and tangy sauce,680,12.99,Chinese
Beef and Broccoli,Stir-fried beef with broccoli in soy garlic sauce,560,13.99,Chinese
Mapo Tofu,Spicy Sichuan tofu with minced pork,520,11.99,Chinese
General Tso’s Chicken,Crispy chicken in sweet spicy glaze,700,13.99,Chinese
Egg Fried Rice,Wok-fried rice with egg and vegetables,480,9.49,Chinese
Vegetable Chow Mein,Stir-fried noodles with mixed vegetables,520,10.99,Chinese
Shrimp Lo Mein,Soft noodles with shrimp and vegetables,610,13.49,Chinese
Steamed Pork Dumplings,Juicy pork dumplings served with soy dip,360,8.99,Chinese
Spring Rolls,Crispy rolls filled with vegetables,260,7.49,Chinese
Hot and Sour Soup,Spicy and tangy soup with tofu and mushrooms,180,6.99,Chinese
Wonton Soup,Light broth with pork wontons and greens,190,7.49,Chinese
Orange Chicken,Battered chicken in orange citrus sauce,690,13.99,Chinese
Beef Chow Fun,Wide rice noodles with beef and bean sprouts,640,14.49,Chinese
Sichuan Dan Dan Noodles,Spicy noodles with minced pork and chili oil,620,12.99,Chinese
Char Siu Pork,Roasted Cantonese barbecue pork,580,14.99,Chinese
Chicken Fried Rice,Fried rice with chicken and peas,520,10.99,Chinese
Ma Po Eggplant,Spicy eggplant with garlic and chilies,430,11.49,Chinese
